| engine | protocol | cold(s) | hot p50(s) | hot p95(s) | bw(Mbps) | cpu(cores) | rss(MB) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| honk | direct | 0.006166 | - | - | 393 | 0.71 | 54 |
| honk | hy2 | 0.008715 | 0.008257 | 0.008929 | 267 | 1.34 | 59 |
| honk | hy2/udp | 0.002866 | - | - | 32(98.2%) | 1.87 | - |
| honk | tuic | 0.006945 | 0.006910 | 0.007667 | 263 | 1.36 | 56 |
| honk | tuic/udp | 0.002714 | - | - | 50(97.9%) | 1.77 | - |
| honk | ss2022 | 0.006415 | 0.005929 | 0.006713 | 353 | 0.88 | 53 |
| honk | ss2022/udp | 0.002128 | - | - | 33(73.8%) | 0.93 | - |
| honk | trojan | 0.019899 | 0.006075 | 0.015087 | 274 | 0.88 | 54 |
| honk | trojan/udp | 0.001844 | - | - | 30(97.2%) | 0.87 | - |
| dae | direct | 0.004100 | - | - | 898 | 0.01 | 39 |
| dae | hy2 | 0.039131 | 0.007826 | 0.010794 | 189 | 1.85 | 59 |
| dae | hy2/udp | 0.003341 | - | - | 31(97.2%) | 2.14 | - |
| dae | tuic | 0.107115 | 0.083088 | 0.083964 | 195 | 1.80 | 48 |
| dae | tuic/udp | 0.003255 | - | - | 31(95.0%) | 2.21 | - |
| dae | ss2022 | 0.013190 | 0.009460 | 0.012104 | 247 | 0.86 | 41 |
| dae | ss2022/udp | 0.002475 | - | - | 40(87.5%) | 1.28 | - |
| dae | trojan | 0.019298 | 0.017047 | 0.022197 | 171 | 0.78 | 42 |
| dae | trojan/udp | 0.003587 | - | - | 46(96.8%) | 1.41 | - |
| honk | direct | 0.006319 | - | - | 346 | 0.70 | 49 |
| honk | hy2 | 0.009506 | 0.007954 | 0.009810 | 268 | 1.33 | 59 |
| honk | hy2/udp | 0.002824 | - | - | 33(97.8%) | 1.83 | - |
| honk | tuic | 0.007078 | 0.007155 | 0.008533 | 261 | 1.35 | 61 |
| honk | tuic/udp | 0.002833 | - | - | 55(97.8%) | 1.74 | - |
| honk | ss2022 | 0.007619 | 0.005758 | 0.006666 | 353 | 0.87 | 48 |
| honk | ss2022/udp | 0.001984 | - | - | 35(73.7%) | 0.93 | - |
| honk | trojan | 0.024261 | 0.006033 | 0.014353 | 290 | 0.88 | 51 |
| honk | trojan/udp | 0.002020 | - | - | 31(97.4%) | 0.88 | - |
| dae | direct | 0.007291 | - | - | 891 | 0.01 | 38 |
| dae | hy2 | 0.034293 | 0.007962 | 0.009526 | 192 | 1.87 | 54 |
| dae | hy2/udp | 0.003366 | - | - | 31(97.6%) | 2.14 | - |
| dae | tuic | 0.100835 | 0.083738 | 0.084773 | 196 | 1.80 | 49 |
| dae | tuic/udp | 0.003500 | - | - | 35(94.2%) | 2.20 | - |
| dae | ss2022 | 0.009627 | 0.008917 | 0.012435 | 246 | 0.87 | 41 |
| dae | ss2022/udp | 0.002903 | - | - | 39(88.2%) | 1.29 | - |
| dae | trojan | 0.026205 | 0.015560 | 0.024961 | 170 | 0.77 | 42 |
| dae | trojan/udp | 0.002694 | - | - | 51(97.0%) | 1.48 | - |
