| engine | protocol | cold(s) | hot p50(s) | hot p95(s) | bw(Mbps) | cpu(cores) | rss(MB) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| honk | direct | 0.017068 | - | - | 867 | 0.00 | 50 |
| honk | hy2 | 0.011672 | 0.008786 | 0.013291 | 263 | 1.33 | 58 |
| honk | hy2/udp | 0.002891 | - | - | 31(98.7%) | 1.84 | - |
| honk | tuic | 0.008181 | 0.007184 | 0.007798 | 254 | 1.34 | 53 |
| honk | tuic/udp | 0.002843 | - | - | 51(98.4%) | 1.73 | - |
| honk | ss2022 | 0.007164 | 0.005900 | 0.006684 | 349 | 0.88 | 52 |
| honk | ss2022/udp | 0.001828 | - | - | 36(74.6%) | 0.93 | - |
| honk | trojan | 0.013896 | 0.006148 | 0.014926 | 283 | 0.88 | 53 |
| honk | trojan/udp | 0.002334 | - | - | 29(96.8%) | 0.87 | - |
| dae | direct | 0.004989 | - | - | 889 | 0.01 | 39 |
| dae | hy2 | 0.040772 | 0.007548 | 0.011248 | 180 | 1.77 | 54 |
| dae | hy2/udp | 0.003178 | - | - | 29(97.6%) | 2.15 | - |
| dae | tuic | 0.103533 | 0.083470 | 0.084803 | 190 | 1.77 | 49 |
| dae | tuic/udp | 0.003408 | - | - | 32(94.6%) | 2.19 | - |
| dae | ss2022 | 0.010210 | 0.008964 | 0.010979 | 249 | 0.87 | 41 |
| dae | ss2022/udp | 0.002524 | - | - | 37(88.1%) | 1.27 | - |
| dae | trojan | 0.024375 | 0.016379 | 0.022157 | 173 | 0.77 | 42 |
| dae | trojan/udp | 0.002587 | - | - | 52(97.2%) | 1.47 | - |
| honk | direct | 0.004846 | - | - | 880 | 0.00 | 54 |
| honk | hy2 | 0.009237 | 0.008568 | 0.009635 | 261 | 1.30 | 58 |
| honk | hy2/udp | 0.003002 | - | - | 35(98.4%) | 1.79 | - |
| honk | tuic | 0.008152 | 0.007124 | 0.007660 | 258 | 1.35 | 54 |
| honk | tuic/udp | 0.003170 | - | - | 53(98.1%) | 1.73 | - |
| honk | ss2022 | 0.006626 | 0.005975 | 0.006462 | 348 | 0.87 | 55 |
| honk | ss2022/udp | 0.002059 | - | - | 34(74.0%) | 0.93 | - |
| honk | trojan | 0.014685 | 0.006419 | 0.015738 | 280 | 0.87 | 50 |
| honk | trojan/udp | 0.002421 | - | - | 30(97.0%) | 0.87 | - |
| dae | direct | 0.004281 | - | - | 889 | 0.02 | 38 |
| dae | hy2 | 0.043778 | 0.007309 | 0.009608 | 188 | 1.85 | 52 |
| dae | hy2/udp | 0.003628 | - | - | 26(98.3%) | 2.01 | - |
| dae | tuic | 0.108624 | 0.083626 | 0.085162 | 194 | 1.78 | 49 |
| dae | tuic/udp | 0.003447 | - | - | 32(96.4%) | 2.20 | - |
| dae | ss2022 | 0.009895 | 0.009092 | 0.011990 | 247 | 0.87 | 41 |
| dae | ss2022/udp | 0.002918 | - | - | 37(88.2%) | 1.26 | - |
| dae | trojan | 0.018898 | 0.015946 | 0.017019 | 172 | 0.78 | 42 |
| dae | trojan/udp | 0.002861 | - | - | 50(96.8%) | 1.46 | - |
