protocol	off_cold_or_rtt	on_cold_or_rtt	delta_cold_or_rtt_pct	off_hot_p50	on_hot_p50	delta_hot_p50_pct	off_hot_p95	on_hot_p95	delta_hot_p95_pct	off_bw_mbps	on_bw_mbps	delta_bw_pct	off_cpu	on_cpu	delta_cpu_pct	off_rss_mb	on_rss_mb	delta_rss_pct
direct	0.002089	0.002310	10.579	-	-		-	-		9409	9407	-0.021	0.00	0.00		51	51	0.000
hy2	0.003630	0.003077	-15.234	0.002379	0.001341	-43.632	0.004728	0.001995	-57.805	5670	6832	20.494	0.58	0.70	20.690	55	52	-5.455
hy2/udp	0.000132	0.000156	18.182	-	-		-	-		1795(57.8%)	1641(60.0%)	-8.579	1.00	0.89	-11.000	-	-	
tuic	0.002843	0.002246	-20.999	0.001760	0.001683	-4.375	0.002441	0.002419	-0.901	7177	5664	-21.081	0.68	0.58	-14.706	48	51	6.250
tuic/udp	0.000070	0.000095	35.714	-	-		-	-		2148(46.6%)	2199(47.7%)	2.374	1.40	1.49	6.429	-	-	
ss2022	0.002837	0.002503	-11.773	0.001717	0.001495	-12.930	0.002503	0.001966	-21.454	9390	9401	0.117	0.36	0.35	-2.778	53	54	1.887
ss2022/udp	0.000214	0.000191	-10.748	-	-		-	-		1958(48.1%)	1413(62.9%)	-27.835	1.28	1.25	-2.344	-	-	
trojan	0.005273	0.005768	9.387	0.001281	0.001332	3.981	0.004297	0.003734	-13.102	9386	9389	0.032	0.41	0.40	-2.439	53	51	-3.774
trojan/udp	0.000056	0.000076	35.714	-	-		-	-		1719(59.9%)	1678(59.5%)	-2.385	1.27	1.26	-0.787	-	-	
anytls-sb	0.002862	0.002461	-14.011	0.001738	0.001534	-11.738	0.002292	0.002321	1.265	9404	9404	0.000	0.46	0.46	0.000	52	48	-7.692
anytls-sb/udp	0.000093	0.000063	-32.258	-	-		-	-		1239(69.0%)	1243(67.1%)	0.323	0.67	0.70	4.478	-	-	
anytls-go	0.002274	0.002017	-11.302	0.001357	0.001583	16.654	0.002686	0.002111	-21.407	9399	9395	-0.043	0.44	0.48	9.091	49	47	-4.082
anytls-go/udp	0.000079	0.000081	2.532	-	-		-	-		1338(66.6%)	1318(65.8%)	-1.495	0.79	0.75	-5.063	-	-	
